Epoch 3/20 — Train: 0.0041 | Val: 0.0036
Epoch 4/20 — Train: 0.0040 | Val: 0.0035
Epoch 5/20 — Train: 0.0040 | Val: 0.0043
Epoch 6/20 — Train: 0.0041 | Val: 0.0037
Epoch 7/20 — Train: 0.0041 | Val: 0.0058
Epoch 8/20 — Train: 0.0040 | Val: 0.0037
Epoch 9/20 — Train: 0.0038 | Val: 0.0045
Epoch 10/20 — Train: 0.0040 | Val: 0.0033
 
Epoch 11/20 — Train: 0.0044 | Val: 0.0035
Epoch 12/20 — Train: 0.0037 | Val: 0.0045
Epoch 13/20 — Train: 0.0040 | Val: 0.0048
Epoch 14/20 — Train: 0.0039 | Val: 0.0041
Epoch 15/20 — Train: 0.0038 | Val: 0.0054
Epoch 16/20 — Train: 0.0039 | Val: 0.0066
Epoch 17/20 — Train: 0.0041 | Val: 0.0063
Epoch 18/20 — Train: 0.0040 | Val: 0.0034
Epoch 19/20 — Train: 0.0035 | Val: 0.0034
Epoch 20/20 — Train: 0.0038 | Val: 0.0041
Testing size=(64, 64), lr=0.0001, bs=16, epochs=10
Epoch 1/10 — Train: 0.0447 | Val: 0.0054
Epoch 2/10 — Train: 0.0046 | Val: 0.0039
Epoch 3/10 — Train: 0.0040 | Val: 0.0037
Epoch 4/10 — Train: 0.0040 | Val: 0.0038
Epoch 5/10 — Train: 0.0039 | Val: 0.0035
Epoch 6/10 — Train: 0.0039 | Val: 0.0038
Epoch 7/10 — Train: 0.0038 | Val: 0.0037
Epoch 8/10 — Train: 0.0037 | Val: 0.0038
Epoch 9/10 — Train: 0.0037 | Val: 0.0042
Epoch 10/10 — Train: 0.0037 | Val: 0.0036
Testing size=(64, 64), lr=0.0001, bs=16, epochs=20
Epoch 1/20 — Train: 0.0324 | Val: 0.0049
Epoch 2/20 — Train: 0.0044 | Val: 0.0041
Epoch 3/20 — Train: 0.0040 | Val: 0.0038
Epoch 4/20 — Train: 0.0039 | Val: 0.0036
Epoch 5/20 — Train: 0.0039 | Val: 0.0035
Epoch 6/20 — Train: 0.0038 | Val: 0.0036
Epoch 7/20 — Train: 0.0038 | Val: 0.0034
Epoch 8/20 — Train: 0.0037 | Val: 0.0035
Epoch 9/20 — Train: 0.0036 | Val: 0.0037
Epoch 10/20 — Train: 0.0036 | Val: 0.0033
Epoch 11/20 — Train: 0.0037 | Val: 0.0034
Epoch 12/20 — Train: 0.0036 | Val: 0.0033
Epoch 13/20 — Train: 0.0036 | Val: 0.0032
Epoch 14/20 — Train: 0.0037 | Val: 0.0032
Epoch 15/20 — Train: 0.0035 | Val: 0.0033
Epoch 16/20 — Train: 0.0035 | Val: 0.0040
Epoch 17/20 — Train: 0.0036 | Val: 0.0035
Epoch 18/20 — Train: 0.0035 | Val: 0.0032
Epoch 19/20 — Train: 0.0035 | Val: 0.0032
Epoch 20/20 — Train: 0.0034 | Val: 0.0033
Testing size=(64, 64), lr=0.0001, bs=32, epochs=10
Epoch 1/10 — Train: 0.0676 | Val: 0.0117
Epoch 2/10 — Train: 0.0081 | Val: 0.0052
Epoch 3/10 — Train: 0.0047 | Val: 0.0040
Epoch 4/10 — Train: 0.0040 | Val: 0.0037
Epoch 5/10 — Train: 0.0039 | Val: 0.0036
Epoch 6/10 — Train: 0.0039 | Val: 0.0035
Epoch 7/10 — Train: 0.0038 | Val: 0.0035
Epoch 8/10 — Train: 0.0038 | Val: 0.0035
Epoch 9/10 — Train: 0.0038 | Val: 0.0041
Epoch 10/10 — Train: 0.0040 | Val: 0.0035
Testing size=(64, 64), lr=0.0001, bs=32, epochs=20
Epoch 1/20 — Train: 0.0684 | Val: 0.0121
Epoch 2/20 — Train: 0.0086 | Val: 0.0057
Epoch 3/20 — Train: 0.0048 | Val: 0.0040
Epoch 4/20 — Train: 0.0042 | Val: 0.0041
Epoch 5/20 — Train: 0.0041 | Val: 0.0037
Epoch 6/20 — Train: 0.0039 | Val: 0.0036
Epoch 7/20 — Train: 0.0039 | Val: 0.0036
Epoch 8/20 — Train: 0.0038 | Val: 0.0038
Epoch 9/20 — Train: 0.0039 | Val: 0.0041
Epoch 10/20 — Train: 0.0038 | Val: 0.0035
Epoch 11/20 — Train: 0.0038 | Val: 0.0036
Epoch 12/20 — Train: 0.0037 | Val: 0.0035
Epoch 13/20 — Train: 0.0037 | Val: 0.0034
Epoch 14/20 — Train: 0.0036 | Val: 0.0034
Epoch 15/20 — Train: 0.0037 | Val: 0.0034
Epoch 16/20 — Train: 0.0036 | Val: 0.0036
Epoch 17/20 — Train: 0.0037 | Val: 0.0035
Epoch 18/20 — Train: 0.0036 | Val: 0.0035
